tracker_name,map_name,method,status,added
شركة الرصف والبناء السعودية للتجارةوالصناعة والمقاولات المحدودة,شركة الرصف والبناء السعودية للتجارة والصناعة والمقاولات,core-fuzzy 0.91,approved,Sep 2026
شركة اسبك للمقاولات والاستشارات البيئية,شركة اسبك للمقاولات و الاستشارات البيئية,core-subset,approved,Sep 2026
شركة خدمات البيئة المتحدة,شركة خدمات البيئة المتحدة لنقل النفايات,core-subset,approved,Sep 2026
مكتب عيسى رمضان عيسى الحرتاني للاستشارات البيئية,مكتب الدكتور عيسى رمضان الحرتاني للاستشارات البيئية,core-subset,approved,Sep 2026
شركة رمز للاستشارات المهنية,رمز للاستشارات المهنية,core,approved,Sep 2026
شركة ريناد المجد,شركة ريناد المجد لتقنية المعلومات,core-subset,approved,Sep 2026
شركة كيو إنترناشيونال كونسلتنتس للاستشارات الهندسية شركة شخص واحد,شركة كيو إنترناشيونال كونسلتنتس,core-subset,approved,Sep 2026
شركة دلتا الحلول للخدمات البيئية,دلتا الحلول للخدمات البيئية,core,approved,Sep 2026
شركة لانا الطبية شركة مساهمة سعودية,شركة لانا الطبية,core-subset,approved,Sep 2026
شركة أيبلس العربية,شركة ايبلس العربية للاعمال الجيوتقنية و البيئية المحدودة شخص واحد,core-subset,approved,Sep 2026
Environmental Testing & Laboratories Co.,ENVIRONMENTAL TESTING AND LABORATORIES C,reviewer merge,reviewer,Sep 2026
Green East Environmental Contracting Est.,GREEN EAST ENVIRONMENT CONTRACTING,reviewer merge,reviewer,Sep 2026
Green Impact Environmental Consulting Office,Green Impact of Environment,reviewer merge,reviewer,Sep 2026
Advanced Triad Turbines Services (ATTS),Advanced Triad Turbine Services (ATTS),reviewer merge,reviewer,Sep 2026
The Metals and Recycling Company (MRC),Metal Recycling Company for Environmental Services,reviewer merge,reviewer,Sep 2026
Al Kayan Al Amthal Environmental Services,Kayan Al Amthal,reviewer merge,reviewer,Sep 2026
Basmat Habwah Environmental Consulting Establishment,Basma Habwa Environmental Services,reviewer merge,reviewer,Sep 2026
DB Metal Arabia Recycling Co. (Single Owner),Metal Recycling Company for Environmental Services,reviewer merge,reviewer,Sep 2026
